session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
2c282c3f,14:10:39,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,731149,190756,56868,4022,11369,4445,1161,1234,8,37
2c282c3f,14:10:40,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,980366,311862,24444,17604,5879,1458,749,1408,1,23
2c282c3f,14:10:41,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,305479,76991,10068,8394,4760,2406,1472,905,4,13
2c282c3f,14:10:42,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,316572,75912,20066,11764,2435,2635,814,591,13,20
2c282c3f,14:10:43,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,631817,386035,208189,7223,1434,8789,2056,2842,13,27
2c282c3f,14:10:44,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,398489,688746,58146,18828,9755,10562,3386,2365,24,26
2c282c3f,14:10:45,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,72149,26785,3583,2077,1253,335,162,157,14,24
2c282c3f,14:10:46,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,146333,79150,18814,8989,1558,898,552,368,4,23
2c282c3f,14:10:47,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,393518,63966,4882,8277,1411,1274,548,464,7,8
2c282c3f,14:10:48,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,201602,40100,4651,7518,483,874,376,552,8,20
2c282c3f,14:10:49,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,798374,317930,29195,12166,3035,2495,1398,2256,4,13
2c282c3f,14:10:50,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,731427,36794,5032,3775,890,693,89,669,10,8
2c282c3f,14:10:51,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,492090,41189,1733,3736,1451,641,250,555,8,3
2c282c3f,14:10:52,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,878520,328240,18105,13618,4138,2296,1871,2686,1,1
2c282c3f,14:10:53,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,123292,63300,14451,1328,1680,1007,205,587,4,1
2c282c3f,14:10:54,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,553199,52640,2225,3380,1369,402,407,772,1,1
2c282c3f,14:10:55,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,351541,8025,836,2813,301,767,245,689,11,1
2c282c3f,14:10:56,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,207541,80184,5854,2801,2683,1052,510,307,20,1
2c282c3f,14:10:57,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,697088,171730,38220,17075,7784,5156,4400,5468,24,4
2c282c3f,14:10:58,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,684823,649334,53311,45051,7182,3762,6047,7561,23,11
2c282c3f,14:10:59,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,70773,3405,987,742,120,150,105,899,14,11
2c282c3f,14:11:00,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,747628,40975,23016,25057,7879,2832,1275,1680,24,41
2c282c3f,14:11:01,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,184322,49283,2479,943,2521,1549,1072,1479,26,24
2c282c3f,14:11:02,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,601418,42585,23919,2888,4317,3774,1651,1249,50,44
2c282c3f,14:11:03,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,72382,5578,1082,731,992,638,315,180,60,40
2c282c3f,14:11:04,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,265034,174959,29823,5515,11505,7860,2810,6608,61,21
2c282c3f,14:11:05,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1738630,274398,27055,7689,6831,12039,9806,5873,64,29
2c282c3f,14:11:06,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,84885,33674,3606,1776,1353,899,343,283,56,14
2c282c3f,14:11:07,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,978349,226373,13322,6399,5262,5897,2668,1306,43,1
2c282c3f,14:11:08,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,73934,108470,26784,17597,12559,8568,4081,5245,47,7
2c282c3f,14:11:09,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,207569,87432,15581,6230,3313,6554,5267,6808,51,14
2c282c3f,14:11:10,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,148224,14709,1967,557,3425,1984,654,2003,66,11
2c282c3f,14:11:11,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,358078,5936,5109,6244,1768,1181,627,1743,78,44
2c282c3f,14:11:12,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,7663,17154,3362,5596,2716,13306,5692,4847,93,43
2c282c3f,14:11:13,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,168286,13690,173,1239,1743,1314,2415,1850,94,29
2c282c3f,14:11:14,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,195045,32164,5284,3159,1423,2470,1344,1468,84,38
2c282c3f,14:11:15,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,341630,28757,10153,4744,3863,10799,4840,5263,94,23
2c282c3f,14:11:16,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,379738,112433,17103,3747,5785,1956,2312,2017,63,17
2c282c3f,14:11:17,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,7774,3426,5304,9270,3387,4297,4810,4303,74,53
2c282c3f,14:11:18,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,263602,52534,26099,15151,21426,7117,4357,6542,75,63
2c282c3f,14:11:19,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,7036,35675,16710,11934,8924,5534,2742,4541,63,67
2c282c3f,14:11:20,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,144178,53090,3855,4566,5522,1861,714,937,69,64
2c282c3f,14:11:21,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1065062,233144,34725,29552,19090,8177,3196,4602,50,44
2c282c3f,14:11:22,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,526803,27561,5367,12553,5309,3677,816,2007,50,43
2c282c3f,14:11:23,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1395337,41964,35745,16667,30772,7577,4049,27644,50,43
2c282c3f,14:11:24,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,346877,9372,2601,1670,1857,714,155,69,50,43
2c282c3f,14:11:25,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1004020,26734,13438,8757,12317,5538,1824,799,50,43
2c282c3f,14:11:26,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1708018,73353,2084,21071,33341,11719,3470,882,50,43
2c282c3f,14:11:27,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,286122,37646,28763,34072,25517,21390,5214,3401,50,43
2c282c3f,14:11:28,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1959405,30551,14317,7898,7814,3931,1629,882,50,43
2c282c3f,14:11:29,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,2814777,44631,6856,10075,8956,1179,512,438,50,43
2c282c3f,14:11:30,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,192202,1476,704,730,630,231,119,37,50,43
2c282c3f,14:11:31,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,298637,164777,27322,4962,7683,4738,1834,5379,40,30
2c282c3f,14:11:32,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,230490,170997,6928,14072,2492,6416,3486,4245,41,29
2c282c3f,14:11:33,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,780587,95597,13807,3898,6489,2925,5423,2642,41,24
2c282c3f,14:11:34,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,815020,449337,254885,223907,196541,157111,44958,12429,48,26
2c282c3f,14:11:35,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1406780,128519,58193,39913,65922,58678,15409,1852,67,35
2c282c3f,14:11:36,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,147721,79053,12803,2539,2287,883,736,665,56,38
2c282c3f,14:11:37,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,228770,288629,29299,3305,2288,2444,1092,2270,47,34
2c282c3f,14:11:38,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,908633,77751,5259,2954,2542,1939,1352,2225,29,13
2c282c3f,14:11:39,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,618979,210527,12687,14598,3141,5094,831,2259,7,1
2c282c3f,14:11:40,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1846550,229315,31088,7433,11374,3882,1435,3048,10,1
2c282c3f,14:11:41,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,927917,1896352,495239,50901,15234,9249,7383,12606,4,10
2c282c3f,14:11:42,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1709772,379228,24270,8144,3569,4830,3311,1534,1,8
2c282c3f,14:11:43,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,269041,38358,4441,7230,807,894,534,350,1,17
2c282c3f,14:11:44,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1096819,169820,28119,5442,2095,4448,1687,1172,3,21
2c282c3f,14:11:45,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1490710,227391,35726,5893,5826,2745,1490,3400,10,16
2c282c3f,14:11:46,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,2134086,326655,169443,8956,2141,20249,4638,42344,20,37
2c282c3f,14:11:47,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,544540,25089,7983,4311,2531,896,605,1420,21,41
2c282c3f,14:11:48,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,2435435,139301,17357,1799,15468,10475,4293,5877,30,35
2c282c3f,14:11:49,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,222351,255048,23687,7127,4180,5386,2398,6459,38,27
2c282c3f,14:11:50,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,722857,260825,76404,21945,20131,11263,5620,6209,37,24
2c282c3f,14:11:51,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1200700,142035,11671,10320,5845,1470,1439,1705,27,10
2c282c3f,14:11:52,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,3243749,268787,156191,16161,15652,6773,5758,19932,14,29
2c282c3f,14:11:53,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,158043,62439,17806,3045,2567,1523,450,462,14,41
2c282c3f,14:11:54,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1199726,113378,8872,15305,12566,9441,3123,1478,21,30
2c282c3f,14:11:55,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,1660317,337573,93789,5155,7084,9363,1711,1170,27,41
2c282c3f,14:11:56,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,678942,231681,26097,36240,8828,12803,2254,602,38,30
2c282c3f,14:11:57,5_min_music,5,yes,https://www.youtube.com/watch?v=fyBuKsmKew4,686490,271209,102369,13636,6514,18775,4133,912,48,35
