timestamp,raw_value
2025-10-15T09:47:48.886646,-55
2025-10-15T09:47:48.887716,-129
2025-10-15T09:47:48.888487,-39
2025-10-15T09:47:48.889093,-40
2025-10-15T09:47:48.889795,-148
2025-10-15T09:47:48.890364,-91
2025-10-15T09:47:48.890869,8
2025-10-15T09:47:48.891250,-57
2025-10-15T09:47:48.891614,-49
2025-10-15T09:47:48.892098,37
2025-10-15T09:47:48.892498,-58
2025-10-15T09:47:48.893011,-186
2025-10-15T09:47:48.893406,-85
2025-10-15T09:47:48.894228,-22
2025-10-15T09:47:48.894987,-148
2025-10-15T09:47:48.895703,-185
2025-10-15T09:47:48.896472,-61
2025-10-15T09:47:48.897193,-122
2025-10-15T09:47:48.897944,-214
2025-10-15T09:47:48.929462,-75
2025-10-15T09:47:48.929792,-193
2025-10-15T09:47:48.930052,-165
2025-10-15T09:47:48.930276,-34
2025-10-15T09:47:48.930492,57
2025-10-15T09:47:48.930715,119
2025-10-15T09:47:48.930958,170
2025-10-15T09:47:48.931151,-21
2025-10-15T09:47:48.931350,-231
2025-10-15T09:47:48.931544,-163
2025-10-15T09:47:48.931759,-8
2025-10-15T09:47:48.932005,-105
2025-10-15T09:47:48.932209,-165
2025-10-15T09:47:48.932430,-121
2025-10-15T09:47:48.932640,-198
2025-10-15T09:47:48.932857,-317
2025-10-15T09:47:48.933116,-226
2025-10-15T09:47:48.933350,-167
2025-10-15T09:47:48.933578,-236
2025-10-15T09:47:48.975334,-23
2025-10-15T09:47:48.976151,-87
2025-10-15T09:47:48.976832,-171
2025-10-15T09:47:48.977397,-93
2025-10-15T09:47:48.978034,-92
2025-10-15T09:47:48.978594,-218
2025-10-15T09:47:48.979214,-153
2025-10-15T09:47:48.979761,52
2025-10-15T09:47:48.980319,86
2025-10-15T09:47:48.980868,33
2025-10-15T09:47:48.981413,37
2025-10-15T09:47:48.982061,-14
2025-10-15T09:47:48.982686,-84
2025-10-15T09:47:48.983269,1
2025-10-15T09:47:48.984080,16
2025-10-15T09:47:48.984621,-138
2025-10-15T09:47:48.985259,-189
2025-10-15T09:47:48.985894,-82
2025-10-15T09:47:49.005640,-211
2025-10-15T09:47:49.006468,-101
2025-10-15T09:47:49.007119,-11
2025-10-15T09:47:49.007816,-101
2025-10-15T09:47:49.008508,-66
2025-10-15T09:47:49.009030,21
2025-10-15T09:47:49.009626,-57
2025-10-15T09:47:49.010205,-149
2025-10-15T09:47:49.010779,-72
2025-10-15T09:47:49.011411,-122
2025-10-15T09:47:49.012032,-167
2025-10-15T09:47:49.012786,75
2025-10-15T09:47:49.013547,326
2025-10-15T09:47:49.014463,167
2025-10-15T09:47:49.015342,7
2025-10-15T09:47:49.016067,-1
2025-10-15T09:47:49.016770,-53
2025-10-15T09:47:49.017455,-115
2025-10-15T09:47:49.018210,40
2025-10-15T09:47:49.050189,-75
2025-10-15T09:47:49.050855,-117
2025-10-15T09:47:49.051447,-23
2025-10-15T09:47:49.052020,-98
2025-10-15T09:47:49.052590,-171
2025-10-15T09:47:49.053119,-68
2025-10-15T09:47:49.053795,75
2025-10-15T09:47:49.054306,145
2025-10-15T09:47:49.055214,233
2025-10-15T09:47:49.055987,217
2025-10-15T09:47:49.056786,22
2025-10-15T09:47:49.057515,-36
2025-10-15T09:47:49.058312,84
2025-10-15T09:47:49.059055,53
2025-10-15T09:47:49.059665,-74
2025-10-15T09:47:49.060292,-34
2025-10-15T09:47:49.060921,-54
2025-10-15T09:47:49.061747,-210
2025-10-15T09:47:49.062346,-188
2025-10-15T09:47:49.080418,-51
2025-10-15T09:47:49.081255,-61
2025-10-15T09:47:49.081962,72
2025-10-15T09:47:49.082655,107
2025-10-15T09:47:49.083297,-50
2025-10-15T09:47:49.083990,-66
2025-10-15T09:47:49.084642,-34
2025-10-15T09:47:49.085234,-104
2025-10-15T09:47:49.085942,-118
2025-10-15T09:47:49.086691,138
2025-10-15T09:47:49.087274,298
2025-10-15T09:47:49.087970,269
2025-10-15T09:47:49.088943,236
2025-10-15T09:47:49.089677,196
2025-10-15T09:47:49.090448,12
2025-10-15T09:47:49.091103,22
2025-10-15T09:47:49.091813,156
2025-10-15T09:47:49.092462,103
