session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
1e047abd,15:22:01,exercise,10,no,,131754,15518,4339,2014,1320,1957,543,257,51,47
1e047abd,15:22:02,exercise,10,no,,1163881,299055,28356,105759,50662,31677,21808,4606,40,51
1e047abd,15:22:03,exercise,10,no,,388437,46159,20952,35561,18439,4841,4397,1799,34,64
1e047abd,15:22:04,exercise,10,no,,589021,179996,47004,28930,26788,37307,13016,8001,34,64
1e047abd,15:22:05,exercise,10,no,,221077,12377,8314,3659,1536,1408,1015,488,34,64
1e047abd,15:22:06,exercise,10,no,,174313,31087,4534,6850,2993,3283,3181,1799,27,57
1e047abd,15:22:07,exercise,10,no,,1795254,77357,39296,55126,27453,35721,29181,2923,27,57
1e047abd,15:22:08,exercise,10,no,,1173670,527241,36103,47845,33690,38834,10881,16583,24,50
1e047abd,15:22:09,exercise,10,no,,1029908,63168,62757,10605,17285,19639,8955,2015,24,50
1e047abd,15:22:10,exercise,10,no,,2092619,138009,152762,49549,23848,18699,7183,7528,23,60
1e047abd,15:22:11,exercise,10,no,,214937,93710,1712,15857,4574,8191,2349,3419,27,44
1e047abd,15:22:12,exercise,10,no,,1045191,160022,35216,7752,8712,8077,5871,1422,23,43
1e047abd,15:22:13,exercise,10,no,,2265864,125085,14961,31175,21985,19996,8218,3350,23,43
1e047abd,15:22:14,exercise,10,no,,140221,43794,8660,4066,7552,11932,3224,1329,35,47
1e047abd,15:22:15,exercise,10,no,,1795654,85198,34030,65792,46333,22858,22526,35260,41,41
1e047abd,15:22:16,exercise,10,no,,895512,83738,4618,17484,6825,7927,17132,4116,43,43
1e047abd,15:22:17,exercise,10,no,,1236996,199558,24369,22924,27720,16251,11882,5663,47,40
1e047abd,15:22:18,exercise,10,no,,1960634,718367,70085,371381,276361,130043,40762,10880,41,48
1e047abd,15:22:19,exercise,10,no,,804579,27581,18997,1203,5188,5819,1400,923,41,44
1e047abd,15:22:20,exercise,10,no,,585483,40797,9730,12633,3606,3839,5081,1408,38,53
1e047abd,15:22:21,exercise,10,no,,1646999,558129,157640,173052,70722,86986,43131,11970,41,63
1e047abd,15:22:22,exercise,10,no,,2142155,120441,25457,8784,17179,13208,21725,6760,38,56
1e047abd,15:22:23,exercise,10,no,,1878252,109901,11531,14072,20641,11268,6172,1126,35,47
1e047abd,15:22:24,exercise,10,no,,335707,225825,33976,32335,29220,15859,7948,9574,35,40
1e047abd,15:22:25,exercise,10,no,,2723697,1153944,11675,83008,121819,57838,67816,27030,27,20
1e047abd,15:22:26,exercise,10,no,,1373681,157386,23329,26069,18910,29501,29214,12006,34,21
1e047abd,15:22:27,exercise,10,no,,1501362,250860,39057,124090,131442,56604,37159,5001,38,27
1e047abd,15:22:28,exercise,10,no,,196083,42285,42520,17831,16182,54154,11130,2064,38,27
1e047abd,15:22:29,exercise,10,no,,414808,166606,43183,18992,16432,11277,7597,7480,38,27
1e047abd,15:22:30,exercise,10,no,,1333804,151240,40052,70019,33869,50763,21971,2300,50,35
1e047abd,15:22:31,exercise,10,no,,810153,57710,64035,42092,27575,25240,11059,5935,61,61
1e047abd,15:22:32,exercise,10,no,,900417,71469,23755,39282,7636,18025,3907,2474,61,61
1e047abd,15:22:33,exercise,10,no,,2011348,18887,28087,13084,6088,4652,2520,1828,61,61
1e047abd,15:22:34,exercise,10,no,,1338720,184540,28748,21620,81553,46913,44989,15223,64,56
1e047abd,15:22:35,exercise,10,no,,525177,90112,12529,2544,2415,5492,8367,879,54,48
1e047abd,15:22:36,exercise,10,no,,2085101,209916,21817,79898,64818,126580,14564,8547,63,43
1e047abd,15:22:37,exercise,10,no,,106232,50606,14029,13952,11320,12202,4005,2193,61,34
1e047abd,15:22:38,exercise,10,no,,457401,127593,37660,22190,32466,56340,28396,12016,66,38
1e047abd,15:22:39,exercise,10,no,,66181,62258,16201,6121,3691,5025,2636,767,66,43
1e047abd,15:22:40,exercise,10,no,,2042978,345235,27627,81090,71318,35600,30229,9552,51,43
1e047abd,15:22:41,exercise,10,no,,661134,266128,39790,128160,106988,52020,21430,8668,48,44
1e047abd,15:22:42,exercise,10,no,,313124,26078,13189,6215,4833,3804,2807,312,48,44
1e047abd,15:22:43,exercise,10,no,,549352,367801,29650,47013,70030,26341,17193,26813,34,40
1e047abd,15:22:44,exercise,10,no,,775886,284878,21521,36307,16345,18997,36264,6363,34,37
1e047abd,15:22:45,exercise,10,no,,1086466,63362,26471,39520,36225,7366,5579,6494,29,47
